Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Naive,1500,1500,1.5095,72.25,5738240
Naive,1500,3000,2.9249,97.87,9533760
Naive,1500,6000,4.4317,80.93,15683360
Naive,1500,12000,6.9465,81.71,24731520
Naive,1500,24000,13.4716,149.73,38692800
Naive,1500,48000,22.8015,149.87,58445120
Naive,1500,96000,29.4348,191.95,85750560
Naive,1500,192000,42.0083,345.40,121685120

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
tst,1500,1500,0.3299,158.30,252567
tst,1500,3000,0.6756,154.64,414176
tst,1500,6000,1.3213,177.21,689423
tst,1500,12000,2.6342,180.60,1141038
tst,1500,24000,5.0764,197.70,1826307
tst,1500,48000,9.7448,220.67,2861404
tst,1500,96000,20.3214,306.24,4388431
tst,1500,192000,35.8095,434.05,6675839

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Patricia,1500,1500,0.2129,93.07,146499
Patricia,1500,3000,0.4701,102.72,266973
Patricia,1500,6000,0.9239,115.15,468123
Patricia,1500,12000,1.8011,128.96,787078
Patricia,1500,24000,3.6156,164.24,1311899
Patricia,1500,48000,7.1450,204.26,2155998
Patricia,1500,96000,14.3776,275.16,3521949
Patricia,1500,192000,29.1924,434.17,5731058

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
PatriciaOpt,1500,1500,0.2725,96.67,76821
PatriciaOpt,1500,3000,0.5205,104.64,136468
PatriciaOpt,1500,6000,0.9803,116.39,247517
PatriciaOpt,1500,12000,1.9317,131.39,407561
PatriciaOpt,1500,24000,3.7463,158.65,712829
PatriciaOpt,1500,48000,7.5071,196.77,1259657
PatriciaOpt,1500,96000,14.5041,287.63,2101997
PatriciaOpt,1500,192000,28.7970,427.70,3744677